Diâmetro Altura do Peito (m),Altura da Primeira Ramificação (m),Altura da Árvore (m),Diâmetro da Copa (m),Ângulo (°),Presença de Interferência - Tronco,Presença de Fendas - Tronco,Porcentagem da Área (%) com Deterioração - Colo,Raio/PS média - Colo,Porcentagem da área do oco aberto (%) - Tronco,Raio/PS média - Tronco,Árvore Morta,Probabilidade de ruptura,Fungo - Tipo de Ataque,Fungo - Corpo de Frutificação,Cupim-Subterrâneo - Tipo de Ataque,Cupim-Madeira-Seca - Tipo de Ataque,Cupim-de-Solo - Tipo de Ataque,Presença Broca,Código Árvore,Espécie,Risco de Queda,Levantamento do Pavimento,Área Permeável Insuficiente,Presença de Interferência - Raiz,Injúria Mecânica - Raiz,Raiz Exposta - Raiz,Raiz Cortada - Raiz,Raiz Dobrada/Enovelada - Raiz,Injúria Mecânica - Colo,Colo Soterrado - Colo,Injúria Mecânica - Tronco,Casca Inclusa - Tronco,Protuberância - Tronco,Injúria Mecânica - Copa,Epífitas - Copa,Copa Desequilibrada,Largura da Copa (m),Altura da Copa (m),Ângulo (rad),Excentricidade (m),Formato da Copa,Densidade
0.258,5.7029999999999985,14.46,6.365,2.952,0.0,0.0,0.0,1.0,0.0,1.0,0.0,96.56,0.0,0.0,0.0,0.0,0.0,0.0,015814-135,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.365,8.757000000000001,0.05152211951887261,0.7456697656590823,3.0,1.12
0.341,5.961,11.616,9.086,5.36,0.0,0.0,0.0,1.0,0.0,1.0,0.0,21.48,0.0,0.0,0.0,0.0,0.0,0.0,015814-83,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9.086,5.654999999999999,0.09354964790689607,1.089853865222399,2.0,1.12
0.33399999999999996,3.963,12.265999999999998,9.826,10.432,0.0,0.0,0.0,1.0,0.0,1.0,0.0,59.9,0.0,0.0,0.0,0.0,0.0,0.0,015814-88,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,9.826,8.302999999999997,0.18207274756804848,2.2583143865234514,1.0,1.12
0.392,2.835,12.017000000000001,10.456,6.308,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.29,0.0,0.0,0.0,0.0,0.0,0.0,015814-103,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,10.456,9.182000000000002,0.1100953692158023,1.3283875179528415,1.0,1.12
0.261,4.834,8.721,0.758,3.735,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015814-4,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.758,3.8870000000000005,0.0651880475619882,0.5693116177445163,3.0,1.12
0.245,3.503,9.539,6.811,2.461,0.0,0.0,0.0,1.0,0.0,1.0,0.0,26.72,0.0,0.0,0.0,0.0,0.0,0.0,015814-126,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.811,6.036,0.042952552891580446,0.40997655794468396,1.0,1.12
0.493,1.18,11.517999999999999,11.044,4.452,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,015814-173,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,11.044,10.338,0.07770205829878755,0.8967778325771286,1.0,1.12
0.382,2.839,9.515,6.445,10.32,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015814-100,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.445,6.676,0.18011797880581482,1.7325998335624229,1.0,1.12
0.27699999999999997,2.702,10.892000000000001,6.345,8.956,0.0,0.0,0.0,1.0,0.0,1.0,0.0,90.38,0.0,0.0,0.0,0.0,0.0,0.0,015814-115,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.345,8.190000000000001,0.15631168780861215,1.7165500819193034,1.0,1.12
0.465,4.663,13.289000000000001,9.593,7.769,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,015814-86,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9.593,8.626000000000001,0.13559462958743945,1.8130421488182513,1.0,1.12
0.131,2.399,4.041,1.013,1.112,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015814-172,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.013,1.6420000000000003,0.019408061282176946,0.07843782435468838,1.0,1.12
0.57,2.218,12.177,12.267000000000001,14.27,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,015814-163,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.267000000000001,9.959,0.24905848425959082,3.0970891675607426,2.0,1.12
0.29600000000000004,3.7060000000000004,12.477,8.044,9.863,0.0,0.0,0.0,1.0,0.0,1.0,0.0,97.27,0.0,0.0,0.0,0.0,0.0,0.0,015814-89,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.044,8.771,0.1721418241242007,2.169283307828486,1.0,1.12
0.579,2.513,13.777999999999999,9.102,4.496,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,015814-133,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9.102,11.264999999999999,0.07847000316966507,1.0833842782071348,3.0,1.12
0.439,8.06,14.914000000000001,8.861,5.797999999999999,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,015814-153,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.861,6.854000000000001,0.10119419003063121,1.5143829094905075,2.0,1.12
0.22,2.2230000000000003,9.663,5.979,2.2769999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,94.8,0.0,0.0,0.0,0.0,0.0,0.0,015814-101,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.979,7.4399999999999995,0.039741147067910876,0.38422099968652884,1.0,1.12
0.395,2.69,12.686,8.225,1.646,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.36,0.0,0.0,0.0,0.0,0.0,0.0,015814-108,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.225,9.996,0.028728119487826664,0.36454521631909803,1.0,1.12
0.337,3.3810000000000002,13.088,6.544,3.7460000000000004,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.77,0.0,0.0,0.0,0.0,0.0,0.0,015814-132,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.544,9.706999999999999,0.0653800337797076,0.8569152054843875,3.0,1.12
0.19699999999999998,2.898,9.352,5.105,4.542,0.0,0.0,0.0,1.0,0.0,1.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,015814-93,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.105,6.454000000000001,0.07927285462558245,0.7429165973805997,1.0,1.12
0.47100000000000003,1.286,14.902000000000001,8.652999999999999,4.521,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,015814-91,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.652999999999999,13.616000000000001,0.07890633548266364,1.1783086927323414,3.0,1.12
0.204,2.995,10.790999999999999,5.766,7.971,0.0,0.0,0.0,1.0,0.0,1.0,0.0,99.26,0.0,0.0,0.0,0.0,0.0,0.0,015814-117,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.766,7.7959999999999985,0.13912019467646802,1.5110068467647773,3.0,1.12
0.56,1.685,14.692,8.906,20.02,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,015814-155,Caesalpinia ferrea var. leiostachya ,GRANDE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.906,13.007,0.3494149162492648,5.3532592868895446,3.0,1.12
0.40700000000000003,1.694,12.354000000000001,9.343,5.178,0.0,0.0,0.0,1.0,0.0,1.0,0.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,015814-161,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.343,10.66,0.09037314866826639,1.1195193584956988,1.0,1.12
0.401,3.653,12.802,10.712,4.9460000000000015,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.22,0.0,0.0,0.0,0.0,0.0,0.0,015814-156,Caesalpinia ferrea var. leiostachya ,MÉDIO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.712,9.149,0.08632398480363956,1.1078729152088491,1.0,1.12
0.309,3.971,10.82,6.5829999999999975,2.553,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.73,0.0,0.0,0.0,0.0,0.0,0.0,015814-147,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,6.5829999999999975,6.849,0.044558255803415235,0.48243965476247397,1.0,1.12
0.306,2.44,10.136000000000001,6.794,2.7969999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.09,0.0,0.0,0.0,0.0,0.0,0.0,015814-116,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,6.794,7.6960000000000015,0.048816859178281394,0.49520111604673595,1.0,1.12
0.43,3.786,12.195,11.027000000000001,3.52,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.61,0.0,0.0,0.0,0.0,0.0,0.0,105171-11,Caesalpinia ferrea var. leiostachya ,PEQUENO,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,11.027000000000001,8.409,0.0614355896702004,0.7501510265152106,2.0,1.12
0.589,4.0,13.960999999999999,12.129000000000001,8.311,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,022870-9,Caesalpinia ferrea var. leiostachya ,GRANDE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.129000000000001,9.960999999999999,0.14505431413324874,2.0394270784589126,2.0,1.12
0.452,2.8739999999999997,5.646,4.294,2.565,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,022870-10,Caesalpinia ferrea var. leiostachya ,PEQUENO,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.294,2.7720000000000002,0.04476769531365455,0.2529273981779147,1.0,1.12
0.22899999999999998,2.551,8.86,4.181,10.470999999999998,0.0,0.0,4.605,1.273,0.0,1.0,0.0,6.73,0.0,0.0,0.0,0.0,0.0,0.0,336831-4,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.181,6.308999999999999,0.1827534259763262,1.6374658804657543,3.0,1.12
0.306,2.6210000000000004,8.45,10.520999999999999,7.103,0.0,0.0,0.0,1.0,0.0,1.0,0.0,36.92,0.0,0.0,0.0,0.0,0.0,0.0,336831-9,Caesalpinia ferrea var. leiostachya ,PEQUENO,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.520999999999999,5.828999999999999,0.12397073676915722,1.0529524459710937,2.0,1.12
0.19399999999999998,0.87,8.422,5.676,31.19400000000001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,160172-180,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5.676,7.5520000000000005,0.5444380068671113,5.0993391477157655,1.0,1.12
0.191,3.6430000000000002,10.302,5.44,9.222,0.0,0.0,0.0,1.0,0.0,1.0,0.0,99.98,0.0,0.0,0.0,0.0,0.0,0.0,160172-125,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.44,6.658999999999999,0.16095426361891707,1.6726196123504855,1.0,1.12
0.271,2.648,10.998,7.885,2.3680000000000003,0.0,0.0,0.0,1.0,0.0,1.0,0.0,81.89,0.0,0.0,0.0,0.0,0.0,0.0,160172-152,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,7.885,8.35,0.04132939668722573,0.4547996849244433,1.0,1.12
0.309,2.8080000000000003,11.839,9.266,6.699,0.0,0.0,0.0,1.0,0.0,1.0,0.0,84.1,0.0,0.0,0.0,0.0,0.0,0.0,160172-182,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9.266,9.031,0.11691960659110014,1.3905533829540884,1.0,1.12
0.242,2.499,11.154000000000002,8.015,5.215,0.0,0.0,0.0,1.0,0.0,1.0,0.0,99.37,0.0,0.0,0.0,0.0,0.0,0.0,160172-114,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8.015,8.655000000000001,0.09101892049150428,1.0180378856342833,1.0,1.12
0.28600000000000003,2.714,8.889,6.383999999999999,32.262,0.0,0.0,0.0,1.0,0.0,1.0,0.0,41.11,0.0,0.0,0.0,0.0,0.0,0.0,160172-179,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.383999999999999,6.174999999999999,0.5630781232784106,5.611144519091009,1.0,1.12
0.223,2.792,8.585,5.152,4.118,0.0,0.0,0.0,1.0,0.0,1.0,0.0,38.64,0.0,0.0,0.0,0.0,0.0,0.0,160172-112,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.152,5.793000000000001,0.0718726585971265,0.6180914280689592,1.0,1.12
0.14,1.7480000000000002,8.231,4.731,3.5780000000000003,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,160172-130,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.731,6.483,0.06244788063635712,0.5146777155668726,1.0,1.12
0.267,2.09,10.379000000000001,8.281,5.332000000000002,0.0,0.0,0.0,1.0,0.0,1.0,0.0,84.41,0.0,0.0,0.0,0.0,0.0,0.0,160172-5,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.281,8.289000000000001,0.09306095571633768,0.9686776349083835,1.0,1.12
0.267,3.7039999999999997,11.64,6.6229999999999976,2.254,0.0,0.0,0.0,1.0,0.0,1.0,0.0,86.52,0.0,0.0,0.0,0.0,0.0,0.0,160172-181,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.6229999999999976,7.936000000000001,0.039339721339952186,0.4581507275626168,1.0,1.12
0.385,2.334,14.089,9.577,3.9019999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,43.53,0.0,0.0,0.0,0.0,0.0,0.0,076171-192,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.577,11.755,0.06810274741281873,0.960985746777544,3.0,1.12
0.185,2.4330000000000003,7.987999999999999,3.4419999999999997,9.276,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16.11,0.0,0.0,0.0,0.0,0.0,0.0,076171-54,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.4419999999999997,5.554999999999998,0.161896741414994,1.3046496683036222,3.0,1.12
0.385,2.334,14.089,9.577,3.9019999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,43.53,0.0,0.0,0.0,0.0,0.0,0.0,076171-56,Caesalpinia ferrea var. leiostachya ,PEQUENO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.577,11.755,0.06810274741281873,0.960985746777544,3.0,1.12
